finger_temp_C < 32.0

Middle finger, cooled with cold water and dried before measurement.
The Terumo thermometer(Terumo ET-P265WZ（テルモ电子体温计 P265）)displayed "L", indicating that the finger temperature was below the thermometer's measurable lower limit of 32.0°C. 
No-light/covered condition, approximately 60 seconds.

time_ms, red, ir
960542,119959,135652
960650,119592,134621
960757,119841,135312
960865,120003,135789
960973,119958,135726
961080,119975,135838
961188,120049,136064
961296,120061,136129
961403,119759,135264
961511,119853,135589
961618,120058,136278
961726,120108,136367
961834,120172,136385
961941,120270,136649
962049,120269,136644
962157,120046,136017
962264,120010,135892
962372,120134,136244
962479,120139,136207
962587,120050,135917
962695,120065,135975
962803,120117,136175
962910,119999,135866
963018,119772,135175
963125,119957,135721
963233,120056,136102
963341,120018,135930
963448,120024,135975
