dark condition,0.301 lux.

fixed white paper target, covered/near-dark condition, 
approximate light intensity = 0.301 lux. The first 30 seconds were excluded from analysis because the raw readings were still stabilizing after the target was placed.

time_ms，red，ir
6790015,16317,21856
6790123,16301,21854
6790230,16294,21844
6790337,16294,21848
6790444,16283,21830
6790552,16287,21830
6790659,16272,21809
6790766,16267,21805
6790874,16275,21818
6790981,16272,21804
6791089,16268,21802
6791197,16262,21793
6791304,16258,21792
6791411,16239,21778
6791518,16232,21776
6791626,16231,21767
6791733,16226,21751
6791840,16227,21758
6791947,16230,21756
6792055,16231,21766
6792162,16238,21772
6792269,16234,21775
6792377,16244,21770
6792484,16249,21774
6792591,16251,21771
6792698,16240,21775
6792806,16249,21775
6792913,16253,21789
6793020,16260,21792
6793127,16265,21801
6793235,16285,21818
6793342,16285,21819
6793450,16288,21813
6793557,16284,21812
6793664,16281,21814
6793772,16286,21822
6793879,16286,21806
6793987,16290,21816
6794094,16285,21818
6794201,16283,21821
6794308,16287,21820
6794416,16294,21833
6794523,16293,21828
6794630,16294,21836
6794737,16306,21841
6794845,16326,21863
6794952,16323,21867
6795059,16319,21867
6795167,16313,21856
6795375,16294,21830
6795483,16283,21824
6795590,16306,21853
6795698,16364,21921
6795805,16391,21949
6795912,16356,21913
6796019,16358,21920
6796127,16374,21928
6796234,16371,21926
6796341,16355,21913
6796449,16343,21906
6796556,16342,21900
6796663,16343,21893
6796771,16323,21878
6796878,16308,21870
6796985,16300,21840
6797093,16284,21826
6797200,16295,21832
6797307,16303,21842
6797414,16300,21841
6797522,16297,21842
6797629,16301,21843
6797736,16298,21842
6797844,16297,21842
6797952,16309,21846
6798059,16317,21861
6798166,16309,21852
6798273,16318,21867
6798381,16318,21859
6798488,16324,21865
6798596,16329,21877
6798703,16327,21880
6798810,16324,21866
6798918,16317,21869
6799025,16315,21868
6799132,16298,21847
6799240,16297,21836
6799347,16276,21820
6799455,16272,21810
6799562,16266,21812
6799669,16263,21817
6799777,16270,21804
6799884,16270,21812
6799991,16271,21815
6800099,16270,21804
6800206,16270,21805
6800313,16262,21808
6800421,16258,21796
6800528,16243,21784
6800635,16246,21786
6800743,16247,21793
6800850,16254,21785
6800957,16249,21787
6801065,16250,21771
6801172,16238,21775
6801279,16226,21777
6801387,16245,21776
6801494,16243,21783
6801601,16250,21783
6801708,16250,21782
6801816,16248,21784
6801923,16247,21776
6802030,16249,21788
6802138,16249,21794
6802245,16258,21798
6802353,16258,21792
6802460,16267,21792
6802568,16271,21801
6802675,16268,21808
6802783,16270,21811
6802890,16261,21798
6802997,16266,21815
6803105,16271,21826
6803212,16288,21834
6803319,16289,21828
6803426,16298,21835
6803534,16292,21838
6803641,16307,21848
6803748,16305,21843
6803855,16295,21838
6803963,16279,21822
6804070,16271,21810
6804178,16261,21798
6804285,16276,21799
6804392,16264,21806
6804500,16260,21797
6804607,16263,21799
6804715,16260,21802
6804822,16256,21804
6804929,16264,21799
