finger temperature = 33.5°C，no-light/covered condition, 
approximately 60 seconds. The first 5–10 seconds may be excluded from analysis because the signal was still stabilizing after finger placement.

time_ms, red, ir
354326,122394,144274
354434,122422,144294
354542,122447,144356
354649,122303,143935
354757,121921,142960
354865,122089,143462
354972,122226,143832
355080,122194,143673
355187,122269,143809
355295,122344,144045
355403,122373,144044
355510,122001,143041
355618,122058,143237
355725,122266,143804
355833,122247,143822
355940,122230,143831
356048,122260,143969
356156,122262,143974
356263,121729,142522
356371,121656,142406
356478,121995,143495
356586,121927,143379
356694,121808,143008
356802,121932,143343
356910,122041,143629
357017,121701,142640
357125,121164,141247
357232,121623,142521
357340,121743,142794
357447,121654,142363
357555,121773,142720
357663,121933,143277
357770,121783,142880
357878,120809,140298
357985,121346,141682
358093,121815,142869
358200,121787,142685
358308,121899,143036
358415,121979,143329
358523,121996,143435
358630,121391,141735
358738,121375,141777
358846,121778,142871
358954,121758,142796
359061,121815,142894
359169,121956,143341
359276,121993,143451
359384,121917,143212
359491,121042,140849
359599,121316,141652
359706,121671,142567
359814,121624,142388
359921,121667,142591
360029,121830,143117
360136,121884,143243
360244,121927,143325
360352,121139,141184
360459,121095,141135
360567,121623,142549
360674,121738,142840
360782,121695,142688
360890,121817,143108
360998,121907,143355
361105,121895,143416
361213,121766,143007
361320,120993,140930
361428,121398,142082
361535,121706,142907
361643,121645,142715
361751,121707,142893
361858,121827,143258
361966,121873,143380
362073,121900,143428
362181,121305,141788
362288,121183,141521
362396,121671,142863
362605,121756,143436
362712,121714,143370
362820,121716,143411
362927,121777,143565
363035,121824,143685
363143,121629,143101
363250,121157,141737
363358,121575,143018
363466,121737,143374
363573,121645,143118
363681,121639,143123
363788,121731,143342
363896,121747,143388
364004,121035,141374
364111,121263,142017
364219,121668,143158
364326,121647,143097
364434,121615,143047
364542,121728,143370
364649,121770,143472
364757,121022,141383
364864,121152,141805
364972,121630,143099
365079,121584,142950
365187,121524,142840
365295,121707,143409
365403,121784,143679
365510,121133,141851
365618,121049,141708
365726,121587,143199
365833,121574,143080
365941,121541,143010
366049,121709,143459
366156,121745,143497
366264,120901,141146
366371,121129,141851
366479,121603,143211
366587,121554,143088
366694,121550,143111
366802,121675,143486
366909,121644,143328
367017,120705,140826
367124,121051,141845
367232,121500,143073
367340,121421,142773
367447,121460,142909
367555,121609,143326
367662,121400,142718
367770,120544,140447
367878,121149,142095
367985,121420,142831
368093,121260,142394
368201,121396,142796
368308,121541,143178
368416,121287,142404
368523,120590,140529
368631,121164,142156
368738,121379,142748
368846,121185,142172
368954,121293,142574
369061,121443,143005
369169,121179,142207
369276,120289,139784
369384,120834,141281
369492,121186,142232
369599,120978,141612
369707,121119,142066
369814,121309,142673
369922,121385,142862
370029,120506,140351
370137,120654,140799
370244,121192,142348
370352,121156,142270
370460,121207,142424
370567,121333,142783
370675,121373,142945
370782,121360,142908
370890,120386,140217
370998,120711,141135
371105,121169,142432
371213,121135,142272
371320,121226,142533
371428,121352,142908
371536,121382,143019
371644,121395,143041
371751,120690,141028
371859,120468,140414
371966,121164,142380
372074,121249,142606
