T3_warm_38p0C_no_light_trial1.csv: middle finger, warmed with warm water and dried before measurement. 
Initial finger temperature measured by the Terumo thermometer was approximately 40.0°C. No-light/covered condition, approximately 60 seconds.
time_ms, red, ir
2182659,125504,134461
2182767,125717,134995
2182875,126072,135814
2182983,126166,135955
2183091,125546,134356
2183199,125675,134767
2183307,125828,135257
2183415,125671,134871
2183522,125688,134888
2183630,125979,135687
2183738,126000,135780
2183846,125935,135657
2183954,125473,134468
2184062,125363,134190
2184170,125668,135002
2184278,125707,135101
2184386,125593,134840
2184494,125848,135512
2184602,125929,135710
2184710,125908,135692
2184818,125567,134801
2184926,125284,134119
2185034,125504,134646
2185142,125596,134904
2185250,125539,134762
2185358,125952,135860
2185466,126276,136739
2185574,126304,136778
2185682,125606,134982
2185790,125354,134349
2185898,125631,135109
2186006,125569,135007
2186114,125424,134590
2186222,125419,134662
2186330,125451,134801
2186438,125446,134763
2186546,125139,133958
2186654,125390,134560
2186762,125479,134833
2186870,125288,134403
2186978,125316,134503
2187086,125450,134860
2187195,125547,135096
2187303,125102,133987
2187410,124989,133783
2187518,125131,134160
2187626,125139,134190
2187734,125172,134254
2187842,125162,134316
2187950,124982,134030
2188057,124660,133286
2188165,124560,133007
2188274,124863,133702
2188381,124902,133834
2188590,125735,136099
2188698,125539,135521
2188806,124990,134084
2188914,125120,134482
2189022,125242,134875
2189130,125230,134777
2189239,125314,135017
2189347,125382,135267
2189455,125650,135962
2189563,125629,135852
2189671,125112,134403
2189779,125688,135889
2189887,125944,136608
2189995,125776,136167
2190103,125648,135927
2190211,125510,135673
2190318,125673,136155
2190426,125497,135689
2190534,124856,134007
2190642,125073,134587
2190750,125304,135200
2190858,125148,134862
2190966,125266,135159
2191074,125433,135624
2191182,125505,135852
2191290,125151,134924
2191398,124707,133771
2191506,125040,134703
2191614,125346,135505
2191722,125045,134739
2191829,124983,134592
2191937,125056,134847
2192045,125201,135228
2192153,124724,133958
2192261,124683,133825
2192369,125028,134735
2192477,124893,134428
2192585,124818,134258
2192693,125058,134852
2192801,125300,135465
2192909,124806,134182
2193017,124485,133413
2193125,124789,134180
2193233,124932,134540
2193341,124778,134158
2193449,124822,134307
2193557,125002,134810
